column_names,importances,abs_importances,cumsum
YEARS_BEGINEXPLUATATION_MODE,0.002468283,0.002468283,0.9134267
NAME_INCOME_TYPE_Pensioner,0.002450705,0.002450705,0.9158774
AMT_REQ_CREDIT_BUREAU_QRT_0.0,0.002433405,0.002433405,0.9183108
HOUR_APPR_PROCESS_START_9,0.0023618261,0.0023618261,0.92067266
NAME_FAMILY_STATUS_Separated,0.0023597067,0.0023597067,0.92303234
FLAG_DOCUMENT_5_1,0.0023536754,0.0023536754,0.925386
LIVE_CITY_NOT_WORK_CITY_1,0.0023114798,0.0023114798,0.9276975
COMMONAREA_AVG,0.0023007668,0.0023007668,0.9299982
OCCUPATION_TYPE_Security staff,0.0022932824,0.0022932824,0.9322915
AMT_REQ_CREDIT_BUREAU_MON_1.0,0.0022824048,0.0022824048,0.9345739
FONDKAPREMONT_MODE_reg oper account,0.0022587823,0.0022587823,0.93683267
FONDKAPREMONT_MODE_not specified,0.0022431863,0.0022431863,0.9390758
ORGANIZATION_TYPE_Trade: type 7,0.0022367393,0.0022367393,0.94131255
AMT_REQ_CREDIT_BUREAU_DAY_1.0,0.0022186465,0.0022186465,0.9435312
OBS_30_CNT_SOCIAL_CIRCLE_4.0,0.0022098639,0.0022098639,0.94574106
HOUR_APPR_PROCESS_START_17,0.0022055884,0.0022055884,0.94794667
HOUR_APPR_PROCESS_START_13,0.002205055,0.002205055,0.95015174
CNT_CHILDREN_0,0.0021870192,0.0021870192,0.95233876
REG_REGION_NOT_WORK_REGION_1,0.0021352505,0.0021352505,0.95447403
CNT_FAM_MEMBERS_2.0,0.0021193614,0.0021193614,0.9565934
ORGANIZATION_TYPE_Trade: type 6,0.0020796536,0.0020796536,0.95867306
AMT_REQ_CREDIT_BUREAU_YEAR_5.0,0.001999697,0.001999697,0.96067274
OBS_30_CNT_SOCIAL_CIRCLE_8.0,0.001976526,0.001976526,0.9626493
AMT_REQ_CREDIT_BUREAU_MON_3.0,0.0019634366,0.0019634366,0.9646127
REGION_RATING_CLIENT_1,0.0019582796,0.0019582796,0.966571
AMT_REQ_CREDIT_BUREAU_QRT_2.0,0.0019558822,0.0019558822,0.96852684
ORGANIZATION_TYPE_Medicine,0.0019125717,0.0019125717,0.97043943
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0019092961,0.0019092961,0.97234875
OCCUPATION_TYPE_Medicine staff,0.001896661,0.001896661,0.9742454
HOUR_APPR_PROCESS_START_21,0.0018745116,0.0018745116,0.97611994
FLAG_EMAIL_1,0.0018512432,0.0018512432,0.9779712
NAME_HOUSING_TYPE_Municipal apartment,0.0018146157,0.0018146157,0.9797858
FONDKAPREMONT_MODE_nan,0.0017637067,0.0017637067,0.9815495
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0017302125,0.0017302125,0.9832797
ORGANIZATION_TYPE_Police,0.0017048134,0.0017048134,0.9849845
OBS_30_CNT_SOCIAL_CIRCLE_3.0,0.0016694128,0.0016694128,0.9866539
HOUR_APPR_PROCESS_START_6,0.0016357014,0.0016357014,0.98828965
AMT_REQ_CREDIT_BUREAU_YEAR_6.0,0.0015997373,0.0015997373,0.9898894
FONDKAPREMONT_MODE_reg oper spec account,0.0015272569,0.0015272569,0.99141663
HOUR_APPR_PROCESS_START_15,0.0015266922,0.0015266922,0.99294335
FLAG_PHONE_1,0.0014985971,0.0014985971,0.9944419
AMT_REQ_CREDIT_BUREAU_MON_2.0,0.0014023915,0.0014023915,0.9958443
CNT_FAM_MEMBERS_1.0,0.0013844545,0.0013844545,0.99722874
OBS_30_CNT_SOCIAL_CIRCLE_1.0,0.00089491095,0.00089491095,0.99812365
ORGANIZATION_TYPE_Insurance,0.0007931365,0.0007931365,0.9989168
AMT_REQ_CREDIT_BUREAU_DAY_infrequent_sklearn,0.0006421101,0.0006421101,0.9995589
HOUSETYPE_MODE_nan,0.00023002017,0.00023002017,0.99978894
OBS_30_CNT_SOCIAL_CIRCLE_2.0,0.0002110227,0.0002110227,1.0
ENTRANCES_MODE_miss,0.0,0.0,1.0
APARTMENTS_MODE_miss,0.0,0.0,1.0
FLOORSMIN_MEDI_miss,0.0,0.0,1.0
FLOORSMAX_MEDI_miss,0.0,0.0,1.0
EXT_SOURCE_2_miss,0.0,0.0,1.0
NONLIVINGAPARTMENTS_AVG_miss,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_YEAR_8.0,0.0,0.0,1.0
FLOORSMAX_MODE_miss,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_YEAR_7.0,0.0,0.0,1.0
